plot_id,language,title_bn,title_en,synopsis,n_sentences,source_url,source_type,collected_date,split,revision_id,revision_timestamp,licence
BN001,bn,অংশুমান এমবিএ,,"চলচ্চিত্রটি অংশুমান (সোহম চক্রবর্তী) এবং গোপী (আভাস মুখার্জি) এর উপর আলোকপাত করে, উভয় গুজরাটি ছাত্র একসাথে তাদের স্নাতক অধ্যয়ন করছে। অংশুমান তার উদ্যোক্তা স্বপ্নগুলি অনুসরণ করার জন্য এমবিএ করার সিদ্ধান্ত নেয়, যখন গোপী একটি ধনী পরিবার থেকে আসে। তারা বিয়ের গতিশীলতা সম্পর্কিত একটি ব্যবসা শুরু করার সিদ্ধান্ত নেয়। আনশুমানের জীবন একটি ভিন্ন দিকে নিয়ে যায় যখন সে লাবণ্য (কৌশানী মুখোপাধ্যায়) এর প্রেমে পড়ে, যা একটি অনন্য প্রেমের গল্পের দিকে পরিচালিত করে।",4,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%82%E0%A6%B6%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%A8_%E0%A6%8F%E0%A6%AE%E0%A6%AC%E0%A6%BF%E0%A6%8F,wikipedia_bn,2026-07-31,,8891319,2026-04-14T05:30:11Z,CC BY-SA 4.0
BN002,bn,অকাল বিসর্জন,,"দুর্গা, ষোলো বছর বয়সী এক বুদ্ধিমতী ও সকলের প্রিয় মেয়ে, পড়াশোনা এবং তার বাবা-মায়ের স্বপ্ন পূরণের জন্য ভালোবাসাকে প্রত্যাখ্যান করে। সে স্থানীয় ছেলেদের হাতে রাখি পরায়। কিন্তু নেশায় জর্জরিত কয়েকজন এক রাতে তাকে আক্রমণ করে এবং হত্যা করে। নেশা কেটে গেলে অপরাধবোধ তাদের গ্রাস করে— তারাও মারা যায়।",4,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%95%E0%A6%BE%E0%A6%B2_%E0%A6%AC%E0%A6%BF%E0%A6%B8%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%A8,wikipedia_bn,2026-07-31,,8942116,2026-05-17T17:41:30Z,CC BY-SA 4.0
BN003,bn,অগ্নি (চলচ্চিত্র),,"তানিশা (মাহিয়া মাহী) থাইল্যান্ডে ছদ্মবেশী হত্যাকারী, যে আন্ডারওয়ার্ল্ডের বড়ো অপরাধীদের হত্যা করে, তানিশাকে থাইল্যান্ডের সবাই ""দা কিলার ওয়ান"" বলে জানে কিন্তু কেউ তাকে চেনে না। আইনাল (মিশা সদাগর), থাইল্যান্ডের সবচেয়ে বড়ো আন্ডারওয়ার্ল্ড ডন। আইনাল তানিশাকে মেরে ফেলার সিদ্ধান্ত নেয়। ড্রাগণ (আরেফিন শুভ) থাইল্যান্ডের সবচেয়ে দু:সাহসী ফাইটার, ৩ বার ওয়ার্ল্ড বক্সিং চ্যাম্পিয়ন। আইনাল তানিশাকে মারার মিশন দিয়ে ড্রাগনকে পাঠায়, মিশনের মাঝে ড্রাগণ একটি মেয়ের প্রেমে পরে কিন্তু পরে জানতে পায় তার প্রেমিকা হচ্ছে তানিশা।",5,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%97%E0%A7%8D%E0%A6%A8%E0%A6%BF_(%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0),wikipedia_bn,2026-07-31,,8982954,2026-06-03T03:28:44Z,CC BY-SA 4.0
BN004,bn,অগ্নি সংস্কার,,রাঘবপুর কারখানার চিফ ইঞ্জিনিয়ার ছিলেন রজত চৌধুরী। তিনি মেশিনগুলি ভালভাবে দেখাশোনা করতেন এবং শ্রমিকদের চাহিদা সম্পর্কে সচেতন ছিলেন। কোম্পানি তার কাজে সন্তুষ্ট। কোম্পানি পুরানো ম্যানেজারকে সরিয়ে একজন কম দক্ষতাস সম্পন্ন ধীরেনকে রাখতে চেয়েছিল। শুরু হয় দ্বন্দ্ব। কারখানার মালিকের ছেলে অলোক রজতের ভাল বন্ধু। ধীরেন প্রতিশোধ নিতে প্রস্তুত এবং এর জন্য তিনি সমস্ত যোগাযোগ করেছিলেন। পুরো জিনিসটি নষ্ট করার জন্য তিনি তার স্তরের সর্বোচ্চ চেষ্টা করেছিলেন। ফলস্বরূপ প্রচুর উত্থান-পতন ঘটেছিল এবং শেষ পর্যন্ত সত্যটি ধরা পড়ে। ন্যায়বিচার পেতে রজতকে অনেক ভোগান্তি পোহাতে হয়েছিল এবং প্রিয়জনের কাছ থেকে ভাল সমর্থন পেয়েছিলেন। ফলস্বরূপ তিনি তার সাফল্যের শীর্ষে ছুঁয়েছিলেন।,11,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%97%E0%A7%8D%E0%A6%A8%E0%A6%BF_%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0,wikipedia_bn,2026-07-31,,8902464,2026-04-23T23:07:26Z,CC BY-SA 4.0
BN005,bn,অগ্নি ২,,"পিতার মৃত্যুর প্রতিশোধ নিতে গুলজার ও তার গ্যাং কে হারানোর পর তানিশা শিশিরের সঙ্গে বাংলাদেশে ফেরত আসে আবার স্বাভাবিক জীবন যাপন করতে । শিশির, তানিশার প্রেমিক একজন মারাত্মক গুপ্তঘাতক এবং গুলজার অপরাধ সিন্ডিকেটের একজন সদস্য ছিলো, সে পরে তানিশাকে তার বাবার মৃত্যুর প্রতিশোধ নিতে সাহায্য করে । শিশির তানিশার জন্য স্থায়ীভাবে বাংলাদেশে ফেরার সিদ্ধান্ত নেয় । কিন্তু পাইথন, গুলজারের ভাই এবং একটি বৃহৎ অপরাধ সিন্ডিকেটের নেতা তাকে হত্যা করে ভাই মৃত্যুর জন্য প্রতিশোধ নিতে । তানিশা শিশিরের হত্যাকারী পাইথনকে হত্যা করার শপথ নেয় ।তবে পাইথন এর আসল পরিচয় বহির্বিশ্বের কাছ থেকে অজানা । তাই, তানিশা অন্যান্য কুখ্যাত অপরাধীদের পাইথনের এর অবস্থান ট্রেস করার সিদ্ধান্ত নেয় । তানিশা থাইল্যান্ডে পাইথন এর অবস্থান জানতে পারে এবং থাইল্যান্ড যাওয়ার সিদ্ধান্ত নেয়। তানিশা তার পরিচয় গোপন করে থ্যাইল্যান্ড আসে। পাইথনকে খুজতে খুজতে সেখানে দেখা হয় ইশানে সাথে, ইশান পাইথন এর অপরাধ সংগঠনের একজন সদস্য যা তানিশ জানতো । কিন্তু, সে জানতো না ইশানই পাইথনকে শিশিরের ঠিকানা দিয়েছে। ইশান তানিশার আসল পরিচয় না জেনেই তার প্রেমে পড়ে যায়।",12,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%97%E0%A7%8D%E0%A6%A8%E0%A6%BF_%E0%A7%A8,wikipedia_bn,2026-07-31,,8985778,2026-06-04T15:24:56Z,CC BY-SA 4.0
BN006,bn,অনেক দামে কেনা,,অবৈধ বক্সিং ক্লাবে ফাইট করে নিজের পেট চালায় ভবঘুরে হিরো। রাস্তার পাশে অন্ধ ফুল বিক্রেতা পুষ্পকে দেখে ভালোবাসে ফেলে সে। পুষ্প’র চোখের চিকিৎসা করানোর জন্য সাহায্য চায় ঘটনাক্রমে পরিচয় হওয়া মাতাল ধনকুবের ইমুরুজ মীর্জা সাথে। হঠাৎ তাদের হাতে খুন হয় দুজন সন্ত্রাসী। হিরো কি পারবে তার অনেক দামে কেনা ভালোবাসা সফল করতে ?,5,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%A8%E0%A7%87%E0%A6%95_%E0%A6%A6%E0%A6%BE%E0%A6%AE%E0%A7%87_%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A6%BE,wikipedia_bn,2026-07-31,,8804143,2026-02-22T05:20:26Z,CC BY-SA 4.0
BN007,bn,অনেক সাধের ময়না,,"ময়না গ্রামের সুন্দরী মেয়ে, মতি গ্রামের শিক্ষিত ছেলে এবং মনা গ্রামের একজন সাধারণ এবং নির্বোধ ছেলে। যখন ময়না তাদের উভয়ের জীবন থেকে হারিয়ে যায় তখন সবকিছুই পরিবর্তন হয়ে যায়। এই প্রেমের গল্প কি সবসময়ই ভালোভাবে শেষ হতে হবে? অথবা একটি দুঃখজনক বা উভয় হতে হবে?",4,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%A8%E0%A7%87%E0%A6%95_%E0%A6%B8%E0%A6%BE%E0%A6%A7%E0%A7%87%E0%A6%B0_%E0%A6%AE%E0%A6%AF%E0%A6%BC%E0%A6%A8%E0%A6%BE,wikipedia_bn,2026-07-31,,8903269,2026-04-23T23:54:09Z,CC BY-SA 4.0
BN008,bn,অন্তিম যাত্রা,,একজন মহিলা তার অনুশোচনাপূর্ণ একাকী জীবন কাটায়। তার উপলব্ধি তাকে অতীতের কিছু স্মৃতি স্মরণ করিয়ে দেয় । যেখানে একজন নব্য বিবাহিত মহিলার তার শ্বশুর ও স্বামীর প্রতি অভদ্র আচরণ ফুটে ওঠে। তিনি একসময় বৃদ্ধ শশুড়ের প্রতি তার রাগ ও বিরক্তিভাব প্রকাশ করেন এবং তাকে বৃদ্ধাশ্রমে পাঠানোর সিদ্ধান্ত নেয়। কিন্তু তাকে বৃদ্ধাশ্রমে পাঠানোর আগেই তিনি শেষ নিঃশ্বাস ত্যাগ করেন। এতে তখনও তার বিন্দুমাত্র অনুতাপ হয় না। কিন্তু যখন তার অন্তিম যাত্রার সময় হয়  তখন তিনি গভীর ভাবে বুঝতে পারেন এবং অতীতের স্মৃতিগুলো স্মরণ করতে করতে একসময় পরলোক গমন করেন ।,7,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%AE_%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE,wikipedia_bn,2026-07-31,,7316265,2024-04-06T19:30:08Z,CC BY-SA 4.0
BN009,bn,অবুঝ মন,,মাসুম (রাজ্জাক) তার বন্ধুর (বিজয়) সাহায্যে পড়াশুনা করে সদ্য ডাক্তারী পাস করে গ্রামে যাবে ডাক্তারী করার জন্য। গ্রামের পথে ট্রেনে তার পরিচয় হয় জমিদার মেয়ে মাধবীর (শাবানা) সাথে এবং অনতিবিলম্বে প্রেম। মাধবীর পিতা মাসুমের গ্রামের জমিদার। কিন্তু এই প্রেমের বাধা হয়ে দাড়ায় তাদের অসম সামাজিক পরিচয়। মাধবীর পিতার অণুরোধে মাসুম কাউকে না জানিয়ে গ্রাম ছেড়ে চলে যায়। মাধবীর পিতা মাধবীকে বিজয়ের সংগে বিয়ে দেয়।,6,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%AC%E0%A7%81%E0%A6%9D_%E0%A6%AE%E0%A6%A8,wikipedia_bn,2026-07-31,,8907973,2026-04-24T11:05:22Z,CC BY-SA 4.0
BN010,bn,অভিমান (১৯৭৩-এর চলচ্চিত্র),,"সুবীর এক পেশাদার গায়ক যার ক্রমবর্ধমান ক্যারিয়ার রয়েছে। তিনি বিয়ে পরিকল্পনা ছিল না - যতক্ষণ না তিনি উমার দেখা পান। উমা এক মিষ্টি গ্রামের মেয়ে যিনি সঙ্গীতে প্রতিভাবতী। সুবীর উমার প্রেমে পড়ে এবং তাকে বিয়ে করে। তিনি তার নতুন বউকে নিয়ে মুম্বাই ফিরেছেন। সুবীর গায়ক হিসেবে চালিয়ে যাচ্ছেন এবং উমার গায়কী ক্যারিয়ারকে লালন করছেন। উমার গানের ক‍্যারিয়ার যখনই বিকশিত হতে শুরু করে, ঠিক তখনই সুবীরের কর্মজীবনে পতন ঘটতে থাকে। অবশেষে, সে তার স্বামীর চেয়েও বেশি সফল হয়, যার থেকে সুবীরের মনে ঈর্ষার জন্ম নেয়। তার অহংকার আর ঈর্ষা বিবাহে ছেদ ঘটায়। প্রশ্ন ওঠে সুবীর তার ঈর্ষা কাটিয়ে উঠতে পারবে কিনা। কাহিনী বেশ সংবেদনশীল পর্যায়ে পৌঁছে যখন দম্পতি আলাদা হয়ে যায় এবং উমার গর্ভপাত ঘটে। তার খালার কাছ থেকে ব্যাপক সমালোচনার পরে, তারা আবার একটি আবেগপূর্ণ পুনর্মিলনে একত্রিত হয় এবং তারা একসাথে গান করে।",12,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%A8_(%E0%A7%A7%E0%A7%AF%E0%A7%AD%E0%A7%A9-%E0%A6%8F%E0%A6%B0_%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0),wikipedia_bn,2026-07-31,,8980244,2026-06-02T06:21:05Z,CC BY-SA 4.0
