item_id,review_id,Sentiment,cluster_k2,region,n_words,mean_rating,rating_A,rating_B
G001,bn_2257,2,,,,1.0,1,1.0
G002,bn_2272,2,,,,2.0,2,2.0
G003,bn_4123,0,,,,1.5,2,1.0
G004,bn_0007,1,0.0,A_organic,12.0,2.0,2,2.0
G005,bn_2187,2,,,,1.5,2,1.0
G006,bn_3949,0,,,,1.5,2,1.0
G007,bn_4780,2,,,,1.5,2,1.0
G008,bn_4729,2,,,,1.5,2,1.0
G009,bn_1774,0,0.0,A_organic,36.0,3.0,3,3.0
G010,bn_0726,0,1.0,A_organic,9.0,1.5,2,1.0
G011,bn_0926,0,1.0,A_organic,13.0,3.0,3,3.0
G012,bn_2091,2,,,,2.5,3,2.0
G013,bn_1506,0,0.0,A_organic,5.0,2.0,2,2.0
G014,bn_4672,2,,,,2.0,1,3.0
G015,bn_1520,0,0.0,A_organic,13.0,2.0,2,2.0
G016,bn_0725,0,1.0,A_organic,12.0,2.5,2,3.0
G017,bn_1666,0,0.0,A_organic,7.0,2.0,2,2.0
G018,bn_0171,1,0.0,A_organic,10.0,2.0,2,2.0
G019,bn_2607,2,,,,2.0,2,2.0
G020,bn_4513,2,,,,3.0,3,3.0
G021,bn_3508,1,,,,2.0,2,2.0
G022,bn_1224,1,1.0,A_organic,13.0,3.0,3,3.0
G023,bn_2511,2,,,,2.0,2,2.0
G024,bn_4671,2,,,,1.5,1,2.0
G025,bn_2675,2,,,,2.0,2,2.0
G026,bn_1735,0,0.0,A_organic,6.0,2.0,2,2.0
G027,bn_3812,0,,,,2.5,2,3.0
G028,bn_0769,0,1.0,A_organic,11.0,2.0,2,2.0
G029,bn_1890,0,0.0,A_organic,8.0,2.0,2,2.0
G030,bn_4512,2,,,,2.0,2,2.0
G031,bn_4903,2,,,,2.0,2,2.0
G032,bn_2420,2,,,,2.0,2,2.0
G033,bn_0863,0,0.0,A_organic,5.0,2.5,3,2.0
G034,bn_2949,2,,,,2.0,2,2.0
G035,bn_0408,1,0.0,A_organic,5.0,2.5,3,2.0
G036,bn_0786,0,1.0,A_organic,9.0,2.5,2,3.0
G037,bn_2630,2,,,,2.0,2,2.0
G038,bn_4298,0,,,,2.0,2,2.0
G039,bn_3323,1,,,,1.5,1,2.0
G040,bn_2938,2,,,,2.0,2,2.0
G041,bn_3516,1,,,,2.0,2,2.0
G042,bn_1917,0,0.0,A_organic,10.0,2.5,3,2.0
G043,bn_0860,0,0.0,A_organic,3.0,2.0,2,2.0
G044,bn_0287,1,0.0,A_organic,8.0,2.0,2,2.0
G045,bn_0533,0,1.0,A_organic,4.0,1.0,1,1.0
G046,bn_1195,1,0.0,A_organic,10.0,3.0,3,3.0
G047,bn_3579,1,,,,3.0,3,3.0
G048,bn_1659,0,0.0,A_organic,3.0,2.0,2,2.0
G049,bn_0944,0,1.0,A_organic,4.0,2.0,2,2.0
G050,bn_4282,0,,,,2.0,2,2.0
G051,bn_4947,2,,,,2.5,3,2.0
G052,bn_2836,2,,,,2.0,2,2.0
G053,bn_0063,1,0.0,A_organic,6.0,2.0,2,2.0
G054,bn_0858,0,1.0,A_organic,5.0,2.0,2,2.0
G055,bn_0271,1,0.0,A_organic,15.0,,2,
G056,bn_2278,2,,,,2.0,2,2.0
G057,bn_4411,2,,,,2.0,2,2.0
G058,bn_3912,0,,,,2.0,2,2.0
G059,bn_0375,1,0.0,A_organic,16.0,2.5,2,3.0
G060,bn_2324,2,,,,,2,
G061,bn_4981,2,,,,2.5,2,3.0
G062,bn_0056,1,0.0,A_organic,9.0,2.0,2,2.0
G063,bn_2220,2,,,,2.0,2,2.0
G064,bn_2207,2,,,,2.0,2,2.0
G065,bn_4069,0,,,,1.5,1,2.0
G066,bn_0494,1,0.0,A_organic,10.0,2.0,2,2.0
G067,bn_0727,0,0.0,A_organic,9.0,2.0,2,2.0
G068,bn_4657,2,,,,1.5,1,2.0
G069,bn_2813,2,,,,2.0,2,2.0
G070,bn_4694,2,,,,2.0,2,2.0
G071,bn_0447,1,0.0,A_organic,8.0,2.0,2,2.0
G072,bn_2232,2,,,,2.0,2,2.0
G073,bn_3886,0,,,,2.0,2,2.0
G074,bn_0559,0,1.0,A_organic,5.0,2.0,2,2.0
G075,bn_4419,2,,,,2.0,2,2.0
G076,bn_4826,2,,,,2.0,2,2.0
G077,bn_4113,0,,,,2.0,2,2.0
G078,bn_4344,2,,,,2.5,2,3.0
G079,bn_1822,0,1.0,A_organic,15.0,2.5,3,2.0
G080,bn_0250,1,0.0,A_organic,30.0,3.0,3,3.0
G081,bn_1366,1,0.0,A_organic,13.0,2.0,2,2.0
G082,bn_2826,2,,,,2.0,2,2.0
G083,bn_0619,0,0.0,A_organic,6.0,2.0,2,2.0
G084,bn_4702,2,,,,3.0,3,3.0
G085,bn_4431,2,,,,2.0,2,2.0
