item,role,cosine,id_kept_side,id_other_side
A001,contested,0.900276,bn_1096,bn_1358
A002,control_high,0.986344,bn_3205,bn_3453
A003,contested,0.904681,bn_0400,bn_1414
A004,contested,0.943836,bn_2359,bn_4695
A005,contested,0.94073,bn_4001,bn_4295
A006,control_low,0.90757,bn_4644,bn_4761
A007,contested,0.933834,bn_0081,bn_1009
A008,contested,0.921146,bn_4362,bn_4467
A009,control_low,0.905457,bn_3728,bn_3995
A010,contested,0.904745,bn_3427,bn_3658
A011,contested,0.936425,bn_3774,bn_3873
A012,contested,0.921528,bn_2156,bn_4383
A013,contested,0.932933,bn_2440,bn_4349
A014,control_high,0.996693,bn_4737,bn_4789
A015,contested,0.948719,bn_3445,bn_3550
A016,contested,0.917069,bn_1055,bn_1210
A017,contested,0.946439,bn_0246,bn_0257
A018,contested,0.914024,bn_2003,bn_2476
A019,contested,0.932038,bn_3887,bn_4326
A020,contested,0.920286,bn_4336,bn_4533
A021,control_high,0.985053,bn_4611,bn_4666
A022,contested,0.9456,bn_4810,bn_4909
A023,contested,0.93128,bn_4507,bn_4529
A024,control_high,0.999387,bn_4745,bn_4980
A025,contested,0.929507,bn_2697,bn_2744
A026,contested,0.915507,bn_2608,bn_2807
A027,control_low,0.902165,bn_4511,bn_4515
A028,control_high,0.992319,bn_2131,bn_2285
A029,contested,0.902643,bn_3464,bn_3518
A030,contested,0.938533,bn_3165,bn_3262
A031,contested,0.904558,bn_3662,bn_3824
A032,contested,0.919352,bn_3556,bn_3643
A033,contested,0.926848,bn_2426,bn_2710
A034,contested,0.948757,bn_3774,bn_4082
A035,contested,0.912406,bn_2254,bn_2488
A036,contested,0.907277,bn_2630,bn_2731
A037,contested,0.9131,bn_2810,bn_2838
A038,contested,0.920261,bn_4659,bn_4689
