review_id,cluster,Sentiment,region,threshold
bn_0000,1,1,A_organic,0.95
bn_0001,1,1,A_organic,0.95
bn_0002,1,1,A_organic,0.95
bn_0003,0,1,A_organic,0.95
bn_0004,0,1,A_organic,0.95
bn_0005,0,1,A_organic,0.95
bn_0006,1,1,A_organic,0.95
bn_0007,0,1,A_organic,0.95
bn_0008,0,1,A_organic,0.95
bn_0009,0,1,A_organic,0.95
bn_0010,0,1,A_organic,0.95
bn_0011,0,1,A_organic,0.95
bn_0012,0,1,A_organic,0.95
bn_0013,1,1,A_organic,0.95
bn_0014,0,1,A_organic,0.95
bn_0015,0,1,A_organic,0.95
bn_0016,0,1,A_organic,0.95
bn_0017,1,1,A_organic,0.95
bn_0018,0,1,A_organic,0.95
bn_0019,0,1,A_organic,0.95
bn_0020,0,1,A_organic,0.95
bn_0021,0,1,A_organic,0.95
bn_0022,1,1,A_organic,0.95
bn_0023,1,1,A_organic,0.95
bn_0024,0,1,A_organic,0.95
bn_0025,1,1,A_organic,0.95
bn_0026,0,1,A_organic,0.95
bn_0027,0,1,A_organic,0.95
bn_0028,0,1,A_organic,0.95
bn_0029,1,1,A_organic,0.95
bn_0030,0,1,A_organic,0.95
bn_0031,1,1,A_organic,0.95
bn_0032,0,1,A_organic,0.95
bn_0033,1,1,A_organic,0.95
bn_0034,0,1,A_organic,0.95
bn_0035,1,1,A_organic,0.95
bn_0036,1,1,A_organic,0.95
bn_0037,0,1,A_organic,0.95
bn_0038,1,1,A_organic,0.95
bn_0039,0,1,A_organic,0.95
bn_0040,1,1,A_organic,0.95
bn_0041,0,1,A_organic,0.95
bn_0042,1,1,A_organic,0.95
bn_0043,1,1,A_organic,0.95
bn_0044,1,1,A_organic,0.95
bn_0045,0,1,A_organic,0.95
bn_0046,1,1,A_organic,0.95
bn_0047,0,1,A_organic,0.95
bn_0048,1,1,A_organic,0.95
bn_0049,0,1,A_organic,0.95
bn_0050,1,1,A_organic,0.95
bn_0051,0,1,A_organic,0.95
bn_0052,1,1,A_organic,0.95
bn_0053,0,1,A_organic,0.95
bn_0054,0,1,A_organic,0.95
bn_0055,0,1,A_organic,0.95
bn_0056,0,1,A_organic,0.95
bn_0058,0,1,A_organic,0.95
bn_0059,0,1,A_organic,0.95
bn_0060,1,1,A_organic,0.95
bn_0061,0,1,A_organic,0.95
bn_0062,0,1,A_organic,0.95
bn_0063,0,1,A_organic,0.95
bn_0064,2,1,A_organic,0.95
bn_0065,1,1,A_organic,0.95
bn_0066,2,1,A_organic,0.95
bn_0067,0,1,A_organic,0.95
bn_0068,1,1,A_organic,0.95
bn_0069,0,1,A_organic,0.95
bn_0070,0,1,A_organic,0.95
bn_0071,1,1,A_organic,0.95
bn_0072,0,1,A_organic,0.95
bn_0073,1,1,A_organic,0.95
bn_0074,0,1,A_organic,0.95
bn_0075,0,1,A_organic,0.95
bn_0076,0,1,A_organic,0.95
bn_0077,1,1,A_organic,0.95
bn_0078,1,1,A_organic,0.95
bn_0079,1,1,A_organic,0.95
bn_0080,0,1,A_organic,0.95
bn_0081,1,1,A_organic,0.95
bn_0082,1,1,A_organic,0.95
bn_0083,1,1,A_organic,0.95
bn_0084,1,1,A_organic,0.95
bn_0085,1,1,A_organic,0.95
bn_0086,1,1,A_organic,0.95
bn_0087,1,1,A_organic,0.95
bn_0088,1,1,A_organic,0.95
bn_0089,1,1,A_organic,0.95
bn_0090,1,1,A_organic,0.95
bn_0091,1,1,A_organic,0.95
bn_0092,1,1,A_organic,0.95
bn_0093,1,1,A_organic,0.95
bn_0094,1,1,A_organic,0.95
bn_0095,1,1,A_organic,0.95
bn_0096,1,1,A_organic,0.95
bn_0097,1,1,A_organic,0.95
bn_0098,1,1,A_organic,0.95
bn_0099,1,1,A_organic,0.95
bn_0100,1,1,A_organic,0.95
bn_0101,0,1,A_organic,0.95
bn_0102,0,1,A_organic,0.95
bn_0103,0,1,A_organic,0.95
bn_0104,0,1,A_organic,0.95
bn_0105,1,1,A_organic,0.95
bn_0106,0,1,A_organic,0.95
bn_0107,0,1,A_organic,0.95
bn_0108,1,1,A_organic,0.95
bn_0109,0,1,A_organic,0.95
bn_0110,0,1,A_organic,0.95
bn_0111,0,1,A_organic,0.95
bn_0112,0,1,A_organic,0.95
bn_0113,0,1,A_organic,0.95
bn_0114,0,1,A_organic,0.95
bn_0115,0,1,A_organic,0.95
bn_0116,0,1,A_organic,0.95
bn_0117,0,1,A_organic,0.95
bn_0118,2,1,A_organic,0.95
bn_0119,1,1,A_organic,0.95
bn_0120,0,1,A_organic,0.95
bn_0121,1,1,A_organic,0.95
bn_0122,0,1,A_organic,0.95
bn_0123,2,1,A_organic,0.95
bn_0124,1,1,A_organic,0.95
bn_0125,0,1,A_organic,0.95
bn_0126,1,1,A_organic,0.95
bn_0127,1,1,A_organic,0.95
bn_0128,1,1,A_organic,0.95
bn_0129,1,1,A_organic,0.95
bn_0130,1,1,A_organic,0.95
bn_0131,1,1,A_organic,0.95
bn_0132,1,1,A_organic,0.95
bn_0133,1,1,A_organic,0.95
bn_0134,1,1,A_organic,0.95
bn_0135,0,1,A_organic,0.95
bn_0136,1,1,A_organic,0.95
bn_0137,0,1,A_organic,0.95
bn_0138,1,1,A_organic,0.95
bn_0139,1,1,A_organic,0.95
bn_0140,1,1,A_organic,0.95
bn_0141,2,1,A_organic,0.95
bn_0142,1,1,A_organic,0.95
bn_0143,1,1,A_organic,0.95
bn_0144,0,1,A_organic,0.95
bn_0145,0,1,A_organic,0.95
bn_0146,0,1,A_organic,0.95
bn_0147,1,1,A_organic,0.95
bn_0148,1,1,A_organic,0.95
bn_0149,1,1,A_organic,0.95
bn_0151,0,1,A_organic,0.95
bn_0152,1,1,A_organic,0.95
bn_0153,1,1,A_organic,0.95
bn_0154,1,1,A_organic,0.95
bn_0155,0,1,A_organic,0.95
bn_0156,0,1,A_organic,0.95
bn_0157,0,1,A_organic,0.95
bn_0158,1,1,A_organic,0.95
bn_0159,0,1,A_organic,0.95
bn_0160,1,1,A_organic,0.95
bn_0161,1,1,A_organic,0.95
bn_0162,0,1,A_organic,0.95
bn_0163,1,1,A_organic,0.95
bn_0164,0,1,A_organic,0.95
bn_0165,2,1,A_organic,0.95
bn_0166,0,1,A_organic,0.95
bn_0167,0,1,A_organic,0.95
bn_0168,0,1,A_organic,0.95
bn_0169,0,1,A_organic,0.95
bn_0170,0,1,A_organic,0.95
bn_0171,0,1,A_organic,0.95
bn_0172,0,1,A_organic,0.95
bn_0173,1,1,A_organic,0.95
bn_0176,0,1,A_organic,0.95
bn_0179,1,1,A_organic,0.95
bn_0181,0,1,A_organic,0.95
bn_0183,0,1,A_organic,0.95
bn_0184,0,1,A_organic,0.95
bn_0186,0,1,A_organic,0.95
bn_0187,0,1,A_organic,0.95
bn_0188,0,1,A_organic,0.95
bn_0189,1,1,A_organic,0.95
bn_0190,0,1,A_organic,0.95
bn_0191,0,1,A_organic,0.95
bn_0192,0,1,A_organic,0.95
bn_0193,0,1,A_organic,0.95
bn_0194,1,1,A_organic,0.95
bn_0195,1,1,A_organic,0.95
bn_0196,2,1,A_organic,0.95
bn_0197,1,1,A_organic,0.95
