review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_0000,0,1,A_organic,0.69869447,0.113381326,20
bn_0001,0,1,A_organic,0.62082964,0.15447909,16
bn_0002,0,1,A_organic,0.75082564,0.0941298,28
bn_0003,0,1,A_organic,0.66846055,0.16501945,16
bn_0004,0,1,A_organic,0.6974822,0.13060969,13
bn_0005,0,1,A_organic,0.7194075,0.05269456,4
bn_0006,0,1,A_organic,0.7619946,0.07158291,40
bn_0007,0,1,A_organic,0.74139106,0.12040001,12
bn_0008,0,1,A_organic,0.76857615,0.10873926,16
bn_0009,0,1,A_organic,0.7934128,0.05311382,11
bn_0010,0,1,A_organic,0.6665909,0.17338961,23
bn_0011,0,1,A_organic,0.813022,0.078552425,14
bn_0012,0,1,A_organic,0.8217647,0.006197393,7
bn_0013,0,1,A_organic,0.761728,0.116606295,13
bn_0014,0,1,A_organic,0.66085494,0.10137582,7
bn_0015,0,1,A_organic,0.6727285,0.084593356,6
bn_0016,0,1,A_organic,0.8083833,0.063774645,7
bn_0017,0,1,A_organic,0.77928066,0.05783075,9
bn_0018,0,1,A_organic,0.6657993,0.13983184,19
bn_0019,0,1,A_organic,0.7105167,0.109469,4
bn_0020,0,1,A_organic,0.70488614,0.0778594,10
bn_0021,0,1,A_organic,0.81159055,0.009407163,9
bn_0022,0,1,A_organic,0.8220181,0.05800563,29
bn_0023,0,1,A_organic,0.79497045,0.043777585,6
bn_0024,0,1,A_organic,0.62754333,0.18103278,9
bn_0025,0,1,A_organic,0.7635071,0.08228296,11
bn_0026,0,1,A_organic,0.73797494,0.06922698,10
bn_0027,0,1,A_organic,0.7878657,0.10341287,9
bn_0028,0,1,A_organic,0.73364675,0.086081624,19
bn_0029,0,1,A_organic,0.8120229,0.06547606,34
bn_0030,0,1,A_organic,0.91731226,0.0060122013,16
bn_0031,0,1,A_organic,0.8422277,0.08745235,19
bn_0032,1,1,A_organic,0.9352339,0.03273076,10
bn_0033,0,1,A_organic,0.7585844,0.079716384,5
bn_0034,0,1,A_organic,0.8149879,0.053570867,14
bn_0035,0,1,A_organic,0.7194227,0.08680874,19
bn_0036,0,1,A_organic,0.83904415,0.083813906,24
bn_0037,0,1,A_organic,0.73844945,0.06908989,8
bn_0038,0,1,A_organic,0.7753188,0.09741497,29
bn_0039,0,1,A_organic,0.7935935,0.057867587,26
bn_0040,0,1,A_organic,0.8587739,0.04771936,17
bn_0041,0,1,A_organic,0.7105801,0.11635035,14
bn_0042,0,1,A_organic,0.8232417,0.042453468,11
bn_0043,0,1,A_organic,0.75615036,0.084545314,18
bn_0044,0,1,A_organic,0.7617081,0.11471474,39
bn_0045,0,1,A_organic,0.77622485,0.0788092,10
bn_0046,0,1,A_organic,0.70101994,0.15272236,14
bn_0047,0,1,A_organic,0.6674139,0.18342823,25
bn_0048,0,1,A_organic,0.7373204,0.12172705,32
bn_0049,0,1,A_organic,0.7049179,0.14669943,18
bn_0050,0,1,A_organic,0.8089938,0.038603425,8
bn_0051,0,1,A_organic,0.7631067,0.09105581,24
bn_0052,0,1,A_organic,0.7294894,0.08212906,25
bn_0053,0,1,A_organic,0.73775834,0.07433349,14
bn_0054,0,1,A_organic,0.68022406,0.16359532,43
bn_0055,0,1,A_organic,0.7170276,0.0807966,15
bn_0056,0,1,A_organic,0.64204776,0.14164364,9
bn_0058,0,1,A_organic,0.66435206,0.11077261,9
bn_0059,0,1,A_organic,0.6592255,0.1621474,19
bn_0060,0,1,A_organic,0.81951076,0.09591925,13
bn_0061,0,1,A_organic,0.76257676,0.11422223,11
bn_0062,0,1,A_organic,0.9090426,0.021842778,29
bn_0063,0,1,A_organic,0.70293224,0.058460593,6
bn_0064,1,1,A_organic,1.0082766,0.039471507,17
bn_0065,0,1,A_organic,0.8470891,0.023860276,28
bn_0066,1,1,A_organic,0.8949937,0.07488209,3
bn_0067,0,1,A_organic,0.62468207,0.16469055,10
bn_0068,0,1,A_organic,0.8792027,0.03516859,17
bn_0069,0,1,A_organic,0.7740878,0.08235204,12
bn_0070,0,1,A_organic,0.69291306,0.11215007,9
bn_0071,0,1,A_organic,0.73070157,0.08307266,13
bn_0072,0,1,A_organic,0.78422636,0.0734961,20
bn_0073,0,1,A_organic,0.8064966,0.0578174,25
bn_0074,0,1,A_organic,0.62713355,0.16637594,10
bn_0075,0,1,A_organic,0.6328743,0.18937308,26
bn_0076,0,1,A_organic,0.84863305,0.029941797,15
bn_0077,0,1,A_organic,0.81127954,0.029525578,10
