review_id,n_words,n_chars,mean_word_len,n_danda,has_danda,n_comma,has_comma_run,n_exclaim,n_question,punct_per_token,has_latin,has_digit,first_person,cluster_k2
bn_0000,20,106,4.35,1,1,4,0,0,0,0.25,0,1,1,0
bn_0001,16,84,4.3125,0,0,0,0,0,0,0.0,0,0,1,0
bn_0002,28,162,4.821428571428571,3,1,0,0,0,0,0.10714285714285714,0,0,0,0
bn_0003,16,79,4.0,3,1,0,0,0,0,0.1875,0,1,0,0
bn_0004,13,79,5.153846153846154,2,1,0,0,0,0,0.15384615384615385,0,0,0,0
bn_0005,4,25,5.5,1,1,0,0,0,0,0.25,0,0,0,0
bn_0006,40,208,4.225,1,1,0,0,0,0,0.025,0,0,1,0
bn_0007,12,64,4.416666666666667,0,0,0,0,0,0,0.0,0,0,0,0
bn_0008,16,91,4.75,3,1,0,0,0,0,0.1875,0,0,0,0
bn_0009,11,48,3.4545454545454546,1,1,1,0,0,0,0.18181818181818182,0,0,0,0
bn_0010,23,112,3.9130434782608696,2,1,0,0,0,0,0.08695652173913043,1,0,0,0
bn_0011,14,97,6.0,7,1,0,0,0,0,0.5,0,1,1,0
bn_0012,7,39,4.714285714285714,0,0,0,0,0,0,0.0,0,0,0,0
bn_0013,13,67,4.230769230769231,0,0,0,0,0,0,0.0,0,0,0,0
bn_0014,7,40,4.857142857142857,0,0,0,0,0,0,0.0,0,0,0,0
bn_0015,6,33,4.666666666666667,0,0,0,0,0,0,0.0,0,0,0,0
bn_0016,7,49,6.142857142857143,0,0,0,0,0,0,0.0,0,0,0,0
bn_0017,9,57,5.444444444444445,1,1,0,0,0,0,0.1111111111111111,0,0,0,0
bn_0018,19,91,3.8421052631578947,0,0,0,0,0,0,0.0,0,0,1,0
bn_0019,4,26,5.75,0,0,0,0,0,0,0.0,0,0,0,0
bn_0020,10,49,4.0,0,0,0,0,0,0,0.0,0,0,0,0
bn_0021,9,52,4.888888888888889,0,0,0,0,0,0,0.0,0,0,0,0
bn_0022,29,134,3.6551724137931036,0,0,0,0,0,0,0.0,0,0,0,0
bn_0023,6,37,5.333333333333333,0,0,0,0,0,0,0.0,0,0,0,0
bn_0024,9,51,4.777777777777778,2,1,0,0,0,0,0.2222222222222222,0,0,0,0
bn_0025,11,56,4.181818181818182,0,0,0,0,0,0,0.0,0,0,1,0
bn_0026,10,57,4.8,0,0,0,0,0,0,0.0,0,0,0,0
bn_0027,9,60,5.777777777777778,0,0,0,0,0,0,0.0,0,0,0,0
bn_0028,19,99,4.2631578947368425,0,0,0,0,0,0,0.0,0,0,1,0
bn_0029,34,175,4.176470588235294,0,0,0,0,0,0,0.0,0,0,1,0
