word,count_c0,count_c1,log_odds_delta,z
মুভি,337,10,2.202922420981755,9.113096141874417
সিনেমা,217,17,1.5368655669813371,6.932888003638848
অনেক,219,27,1.1681440703140433,6.239154146142802
এই,272,48,0.8588355331815762,5.838875166052454
সুন্দর,209,32,0.9814153035059823,5.548681694535867
মুভিটা,105,4,2.0396633135307614,5.055226153695292
একটা,199,35,0.8589835594786264,4.988918390886903
ছবি,232,56,0.5743289392060458,4.045648097674415
ছবিটা,63,2,2.1477333888453307,3.913147092807778
একটি,63,4,1.687801461562044,3.8142458407093334
মুভির,59,1,2.4654399388963153,3.7340029685832814
বাংলা,81,11,1.0796047136965097,3.634518967396238
ছবির,70,9,1.125769057567073,3.4525530396226576
দেখি,52,4,1.5423642043672503,3.384094322965486
সেরা,61,7,1.221056535890515,3.352195852726375
অসাধারণ,169,42,0.5457698628890375,3.3160639104867853
খুব,148,36,0.5648306398613467,3.1867201932281617
দেখা,64,9,1.0489233790005734,3.1797368873024983
মুভি।,35,1,2.2062822886248457,2.911672065641324
ধন্যবাদ,41,4,1.3536117015147289,2.8711521659517802
আমার,128,32,0.5391784077704864,2.857191321798876
সত্যি,47,6,1.1307739974787703,2.8341553353773574
দেখেছি,33,1,2.1728860282637923,2.8288995637040193
সিনেমার,43,5,1.2091936291919536,2.8007076248384495
ছবি।,31,1,2.1364839173241634,2.7427665691509096
বাস্তব,30,2,1.6498455702342438,2.616113476293183
বার,46,7,0.9799480662910334,2.5933271378450864
আজ,29,2,1.6243945664284158,2.5621887911045618
ভাল,32,3,1.3853426429268785,2.5588081967993563
এমন,65,14,0.672792103551,2.4064396797017973
আগের,26,2,1.5410090938348473,2.3908136444423516
সিনেমা।,27,0,3.023670037975995,2.36009188461947
জীবনের,23,1,1.9499971303850403,2.354259226571868
দেখার,48,9,0.7964495795964401,2.3262336295207913
পানি,28,3,1.2763989549691255,2.3150545720102573
দিন,28,3,1.2763989549691255,2.3150545720102573
কত,21,1,1.8891428396848262,2.242324087446763
দেখতে,55,12,0.6608195094926135,2.1845096206033148
জন্য,45,9,0.7387358402765374,2.139485112734577
দেখে,110,32,0.3991103308202364,2.0699721137960547
