review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_1999,1,2,B_uniform,0.58709794,0.048781335,15
bn_2000,1,2,B_uniform,0.59958583,0.07978076,13
bn_2001,0,2,B_uniform,0.7135021,0.029444516,9
bn_2002,1,2,B_uniform,0.6638518,0.06664419,10
bn_2003,1,2,B_uniform,0.61234313,0.08738625,10
bn_2004,0,2,B_uniform,0.73643523,0.022508621,8
bn_2005,0,2,B_uniform,0.7584149,0.01700443,10
bn_2006,0,2,B_uniform,0.6066488,0.05732149,8
bn_2007,0,2,B_uniform,0.71066165,0.04588002,9
bn_2008,1,2,B_uniform,0.65544593,0.08606905,9
bn_2009,1,2,B_uniform,0.64166754,0.04432243,10
bn_2010,1,2,B_uniform,0.62515247,0.08104026,8
bn_2011,1,2,B_uniform,0.6614461,0.06406039,7
bn_2012,1,2,B_uniform,0.7204593,0.06533766,10
bn_2013,1,2,B_uniform,0.6049048,0.099196434,10
bn_2014,0,2,B_uniform,0.7946424,0.0713684,8
bn_2015,0,2,B_uniform,0.7398696,0.04453671,7
bn_2016,1,2,B_uniform,0.59371936,0.095615804,10
bn_2017,0,2,B_uniform,0.89707947,0.015304744,10
bn_2018,1,2,B_uniform,0.6871228,0.077442765,10
bn_2019,0,2,B_uniform,0.8046912,0.04237646,7
bn_2020,1,2,B_uniform,0.7190198,0.09410787,12
bn_2021,0,2,B_uniform,0.7606814,0.048228323,9
bn_2022,1,2,B_uniform,0.79132926,0.07852274,8
bn_2023,0,2,B_uniform,0.73834914,0.056660533,7
bn_2024,1,2,B_uniform,0.6721821,0.04150647,10
bn_2025,1,2,B_uniform,0.7664713,0.061674833,9
bn_2026,0,2,B_uniform,0.65110606,0.07252103,9
bn_2027,0,2,B_uniform,0.75169957,0.03782773,9
bn_2028,0,2,B_uniform,0.63646936,0.009272933,7
bn_2029,1,2,B_uniform,0.65139383,0.048874617,10
bn_2030,1,2,B_uniform,0.7361104,0.05688691,7
bn_2031,1,2,B_uniform,0.6573251,0.09791094,9
bn_2032,0,2,B_uniform,0.7913117,0.0164181,9
