review_id,n_words,n_chars,mean_word_len,n_danda,has_danda,n_comma,has_comma_run,n_exclaim,n_question,punct_per_token,has_latin,has_digit,first_person,cluster_k2
bn_1999,15,79,4.333333333333333,1,1,1,0,0,0,0.13333333333333333,0,0,0,1
bn_2000,13,73,4.6923076923076925,1,1,2,0,0,0,0.23076923076923078,0,0,0,1
bn_2001,9,62,6.0,1,1,1,0,0,0,0.2222222222222222,0,0,0,0
bn_2002,10,63,5.4,1,1,1,0,0,0,0.2,0,0,0,1
bn_2003,10,54,4.5,1,1,1,0,0,0,0.2,0,0,0,1
bn_2004,8,48,5.125,1,1,1,0,0,0,0.25,0,0,0,0
bn_2005,10,57,4.8,1,1,1,0,0,0,0.2,0,0,0,0
bn_2006,8,41,4.25,1,1,1,0,0,0,0.25,0,0,0,0
bn_2007,9,59,5.666666666666667,1,1,0,0,0,0,0.1111111111111111,0,0,0,0
bn_2008,9,49,4.555555555555555,1,1,1,0,0,0,0.2222222222222222,0,0,0,1
bn_2009,10,54,4.5,1,1,1,0,0,0,0.2,0,0,0,1
bn_2010,8,53,5.75,1,1,1,0,0,0,0.25,0,0,0,1
bn_2011,7,54,6.857142857142857,1,1,1,0,0,0,0.2857142857142857,0,0,0,1
bn_2012,10,65,5.6,1,1,1,0,0,0,0.2,0,0,0,1
bn_2013,10,59,5.0,1,1,1,0,0,0,0.2,0,0,0,1
bn_2014,8,56,6.125,1,1,1,0,0,0,0.25,0,0,0,0
bn_2015,7,43,5.285714285714286,1,1,1,0,0,0,0.2857142857142857,0,0,0,0
bn_2016,10,63,5.4,1,1,2,0,0,0,0.3,0,0,0,1
bn_2017,10,51,4.2,1,1,1,0,0,0,0.2,0,0,0,0
bn_2018,10,57,4.8,1,1,1,0,0,0,0.2,0,0,0,1
bn_2019,7,36,4.285714285714286,1,1,0,0,0,0,0.14285714285714285,0,0,0,0
bn_2020,12,61,4.166666666666667,1,1,1,0,0,0,0.16666666666666666,0,0,0,1
bn_2021,9,55,5.222222222222222,1,1,1,0,0,0,0.2222222222222222,0,0,0,0
bn_2022,8,42,4.375,1,1,0,0,0,0,0.125,0,0,0,1
bn_2023,7,42,5.142857142857143,1,1,1,0,0,0,0.2857142857142857,0,0,0,0
