word,count_c0,count_c1,log_odds_delta,z
গল্পের,311,62,1.5830640094795334,11.968065703402084
গল্পে,95,15,1.777587523774061,6.804935372343064
চরিত্রগুলোর,87,11,1.9711074545646934,6.640676737813018
অভিনয়,65,13,1.5638130689447696,5.411387364833981
সংলাপগুলো,52,5,2.199647993914671,5.171413776924436
চরিত্রের,58,11,1.611337208876014,5.163550810049321
সংলাপ,77,26,1.0807262383961929,4.9219163584512735
চরিত্রগুলো,51,9,1.6755842303847572,4.90076931720489
নয়।,70,23,1.1059490723657062,4.756740080220727
যে,86,34,0.9324933577705403,4.738186793526497
এবং,210,134,0.4795170200930139,4.433752417119747
দর্শকের,37,7,1.6121628524187601,4.122473520564042
"নয়,",32,6,1.6199066343282595,3.839322444669452
সঙ্গে,56,22,0.9369565112540394,3.833554670144848
অভিনয়,28,2,2.4365944351654205,3.771658681361102
গল্পটা,45,16,1.0304602406486545,3.652587959961371
"আছে,",46,17,0.9941269464623641,3.610464339788016
নাটকীয়,25,2,2.346995640619795,3.5760235312621407
এত,57,26,0.7954066875520924,3.4506557510175115
কেমিস্ট্রি,23,3,1.9397075670995552,3.3996653815253683
চরিত্রদের,22,3,1.9011135020531267,3.313859858979719
দর্শক,29,8,1.2666433821666025,3.294953744477181
সাথে,42,17,0.9080267435395113,3.250023561898972
সুন্দরভাবে,40,16,0.9191191348755554,3.197673712019285
আবেগ,58,29,0.7080281876940306,3.191653670273551
চরিত্র,39,16,0.8951211615242025,3.1012998543334955
সমস্যা,21,5,1.4019950295851107,2.9414938542136237
অপ্রয়োজনীয়,17,2,2.0278261993307005,2.9391871930633857
ছোট,31,12,0.9496408380554255,2.8764247046746743
"স্বাভাবিক,",17,3,1.6733013569185626,2.8256055304454195
অতিরিক্ত,60,34,0.5885201806423881,2.8062287406571693
ক্লাইম্যাক্স,45,23,0.6865224765356723,2.7450350091345856
স্বাভাবিক।,16,3,1.6188470088448614,2.713035103286271
আবেগের,25,9,1.017711789245257,2.7003530749753324
ধারা,20,6,1.1881486672111103,2.6450996252034202
কেউ,14,2,1.8600091628027497,2.6321787563176002
ফলে,14,2,1.8600091628027497,2.6321787563176002
মানানসই।,27,11,0.901123580622575,2.591673648846247
তা,21,7,1.08975299047857,2.580194079912601
অভিনেতাদের,21,0,3.9511008622952026,2.5668275683935953
উপস্থাপন,31,14,0.8036941110534421,2.562884146199121
কাঠামো,13,2,1.794885911141514,2.5170175412576734
করা,65,41,0.48597278774217845,2.4913664966016884
প্রধান,12,1,2.313330078774549,2.4785953313712206
"সীমিত,",14,3,1.497860791367498,2.4680333010994024
সহজেই,14,3,1.497860791367498,2.4680333010994024
তাদের,14,3,1.497860791367498,2.4680333010994024
বড়,23,9,0.9390302522376563,2.4589468276824893
"মাঝারি,",12,2,1.7239434904283817,2.3938165601158117
কনফ্লিক্ট,11,1,2.242709457249842,2.3752924046306045
সম্পর্ক,11,1,2.242709457249842,2.3752924046306045
সংযোগ,11,1,2.242709457249842,2.3752924046306045
দর্শককে,37,20,0.6327712663682306,2.3349740614088255
হয়,19,7,0.9956363800591754,2.3214419425536277
বিকাশ,19,7,0.9956363800591754,2.3214419425536277
গল্পকে,19,7,0.9956363800591754,2.3214419425536277
গভীর,27,13,0.7426459799708418,2.2566260945599157
গানগুলো,17,6,1.0359031852191736,2.251117319361225
প্রকাশ,16,0,3.950697615099007,2.2402821209904893
ভিলেন,16,0,3.950697615099007,2.2402821209904893
"সাধারণ,",36,20,0.6065588113943772,2.226672853012401
দেখানো,21,9,0.8528949856663113,2.200201318149911
টুইস্ট,12,3,1.3565834615833126,2.19033852930299
ফুটে,12,3,1.3565834615833126,2.19033852930299
জটিল,15,5,1.089423373551199,2.1800024211469315
হয়নি।,25,12,0.7454903275663867,2.1775915775270125
গভীরতা,22,10,0.7971371166075167,2.1459617051057056
ব্যাকস্টোরি,9,1,2.0757428443503283,2.1426700501921543
ফাইনাল,9,1,2.0757428443503283,2.1426700501921543
চমকপ্রদ,19,8,0.8695613697177214,2.1211811926810467
"সরল,",13,4,1.1641445128755716,2.1083552062003355
পরিচালক,16,6,0.9788107683744949,2.10703789891479
অ্যাকশন,23,11,0.7488552149133438,2.0956440272887114
ঠিক,66,46,0.39011352708864777,2.0749627843956926
"নেই,",32,18,0.5945365928219974,2.0656297179773313
প্লট,20,9,0.8065853388978832,2.06354208032425
জন্য,28,15,0.6409805539440914,2.0518301642465286
কৃত্রিম,17,7,0.8905712648785755,2.039655936663154
এতই,9,2,1.464391893731988,1.9608542842575212
একদমই,9,2,1.464391893731988,1.9608542842575212
মোড়চুয়ানো,12,0,3.950375138969579,1.93998286417967
দুর্বল,19,9,0.7578218401872583,1.9215416088219746
গল্পটি,10,3,1.187573770738073,1.8694628874882717
নাটকীয়তা,13,5,0.9547919121738877,1.8687186009351386
প্রাকৃতিক,13,5,0.9547919121738877,1.8687186009351386
মানিয়ে,7,1,1.8595220969811335,1.860744061995648
যেভাবে,7,1,1.8595220969811335,1.860744061995648
টুইস্টগুলো,7,1,1.8595220969811335,1.860744061995648
আধুনিক,7,1,1.8595220969811335,1.860744061995648
নেই।,88,68,0.2912587267392315,1.8416974489275826
হয়েছে।,79,60,0.30771976701798387,1.8347716053791643
স্বাভাবিক,17,8,0.7639658535859253,1.8284444471252455
সহজ,17,8,0.7639658535859253,1.8284444471252455
বা,66,49,0.3293193378778323,1.7833575541640734
সহজে,11,4,1.0075192757172458,1.779422043626027
প্রায়শই,11,4,1.0075192757172458,1.779422043626027
ভুল,11,4,1.0075192757172458,1.779422043626027
এমনভাবে,10,0,3.9502139414229305,1.7708816949156152
খুবই,47,33,0.3825163862483354,1.7205443521202204
হাস্যরস,12,5,0.8791330448162764,1.6983550239442369
আবহকে,6,1,1.7235370807918367,1.6922848821990466
বাস্তবসম্মত।,6,1,1.7235370807918367,1.6922848821990466
প্রভাবশালী,6,1,1.7235370807918367,1.6922848821990466
সাবপ্লট,6,1,1.7235370807918367,1.6922848821990466
আকর্ষণীয়।,6,1,1.7235370807918367,1.6922848821990466
অনুমান,6,1,1.7235370807918367,1.6922848821990466
হিরোর,6,1,1.7235370807918367,1.6922848821990466
পরিচিত,6,1,1.7235370807918367,1.6922848821990466
আবেগী,9,3,1.0890939752847206,1.6881120420914626
হিরোইনের,9,0,3.9501333527752367,1.6799716128480782
হিরো,9,0,3.9501333527752367,1.6799716128480782
আছে।,22,13,0.5470677896583478,1.599926396945832
করেনি।,10,4,0.9176241842905686,1.5962363421018195
"মানানসই,",10,4,0.9176241842905686,1.5962363421018195
জটিলতা,10,4,0.9176241842905686,1.5962363421018195
সবই,7,2,1.2327808387380585,1.5955644031146445
ফাঁক,8,0,3.950052770876484,1.5838601151183316
লজিক্যাল,8,0,3.950052770876484,1.5838601151183316
বাধা,8,0,3.950052770876484,1.5838601151183316
মিউজিক,67,52,0.28659375513421903,1.5831741241815076
পারে।,14,7,0.7061728805796079,1.5639622559041393
পারেনি।,11,5,0.7966358167042902,1.5164698032132382
সরল,5,1,1.5598930178922368,1.4970865996450375
