cell,n,cluster1_share_%,cell_majority,deviation_from_marginal_pp
"S0|(10.0, 84.0]",100,41.0,0,9.586510263929618
"S0|(2.999, 6.0]",190,33.68421052631579,0,16.90229973761383
"S0|(6.0, 8.0]",143,38.46153846153847,0,12.124971802391151
"S0|(8.0, 10.0]",107,41.1214953271028,0,9.465014936826819
"S1|(10.0, 84.0]",213,57.27699530516433,1,6.690485041234709
"S1|(2.999, 6.0]",233,42.06008583690987,0,8.526424427019748
"S1|(6.0, 8.0]",94,46.808510638297875,0,3.777999625631743
"S1|(8.0, 10.0]",76,63.1578947368421,1,12.571384472912484
"S2|(10.0, 84.0]",267,49.43820224719101,0,1.1483080167386106
"S2|(2.999, 6.0]",342,47.368421052631575,0,3.218089211298043
"S2|(6.0, 8.0]",555,56.93693693693693,1,6.350426673007313
"S2|(8.0, 10.0]",408,62.254901960784316,1,11.668391696854698
