arm,lr,seed,macro_f1
banglabert,2e-05,42,0.388616
banglabert,2e-05,43,0.388616
banglabert,2e-05,44,0.380495
banglabert,2e-05,45,0.388616
banglabert,2e-05,46,0.380495
banglabert,3e-05,42,0.388616
banglabert,3e-05,43,0.388616
banglabert,3e-05,44,0.380495
banglabert,3e-05,45,0.388616
banglabert,3e-05,46,0.380495
xlmr,2e-05,42,0.380495
xlmr,2e-05,43,0.349206
xlmr,2e-05,44,0.342949
xlmr,2e-05,45,0.342949
xlmr,2e-05,46,0.33375
xlmr,3e-05,42,0.380495
xlmr,3e-05,43,0.349206
xlmr,3e-05,44,0.342949
xlmr,3e-05,45,0.342949
xlmr,3e-05,46,0.33375
muril,2e-05,42,0.388616
muril,2e-05,43,0.380495
muril,2e-05,44,0.349206
muril,2e-05,45,0.342949
muril,2e-05,46,0.349206
muril,3e-05,42,0.388616
muril,3e-05,43,0.380495
muril,3e-05,44,0.349206
muril,3e-05,45,0.342949
muril,3e-05,46,0.349206
mbert,2e-05,42,0.349206
mbert,2e-05,43,0.380495
mbert,2e-05,44,0.33375
mbert,2e-05,45,0.349206
mbert,2e-05,46,0.388616
mbert,3e-05,42,0.349206
mbert,3e-05,43,0.380495
mbert,3e-05,44,0.33375
mbert,3e-05,45,0.349206
mbert,3e-05,46,0.388616
indicbertv2,2e-05,42,0.380495
indicbertv2,2e-05,43,0.388616
indicbertv2,2e-05,44,0.388616
indicbertv2,2e-05,45,0.380495
indicbertv2,2e-05,46,0.33375
indicbertv2,3e-05,42,0.380495
indicbertv2,3e-05,43,0.388616
indicbertv2,3e-05,44,0.388616
indicbertv2,3e-05,45,0.380495
indicbertv2,3e-05,46,0.33375
setfit_labse,2e-05,42,0.349206
setfit_labse,2e-05,43,0.349206
setfit_labse,2e-05,44,0.380495
setfit_labse,2e-05,45,0.380495
setfit_labse,2e-05,46,0.349206
setfit_labse,3e-05,42,0.349206
setfit_labse,3e-05,43,0.349206
setfit_labse,3e-05,44,0.380495
setfit_labse,3e-05,45,0.380495
setfit_labse,3e-05,46,0.349206
bert_nli,2e-05,42,0.33375
bert_nli,2e-05,43,0.33375
bert_nli,2e-05,44,0.380495
bert_nli,2e-05,45,0.33375
bert_nli,2e-05,46,0.33375
bert_nli,3e-05,42,0.33375
bert_nli,3e-05,43,0.33375
bert_nli,3e-05,44,0.380495
bert_nli,3e-05,45,0.33375
bert_nli,3e-05,46,0.33375
